,PASE
Abilene Christian,0.37500000000000006
Air Force,-0.4407894736842105
Akron,-0.23552631578947367
Alabama,-0.12673130193905807
Alabama A&M,
Alabama St.,-0.006578947368421
Albany,0.09868421052631585
Alcorn St.,-0.0921052631578947
American,-0.1140350877192982
Appalachian St.,-0.1578947368421052
Arizona,-0.19949690402476772
Arizona St.,0.22368421052631585
Arkansas,0.2348398169336384
Arkansas Pine Bluff,0.993421052631579
Arkansas St.,-0.0921052631578947
Auburn,0.43600478468899534
Austin Peay,0.06842105263157901
BYU,-0.35782163742690054
Ball St.,0.08662280701754387
Baylor,-0.14802631578947362
Belmont,-0.13075657894736842
Binghamton,-0.0921052631578947
Boise St.,-0.3278508771929824
Boston College,0.17105263157894737
Boston University,-0.12368421052631576
Bradley,0.10263157894736845
Brown,-0.0921052631578947
Bryant,
Bucknell,-0.004111842105263126
Buffalo,0.018092105263157965
Butler,0.7289473684210528
Cal Poly,0.993421052631579
Cal St. Bakersfield,-0.0921052631578947
Cal St. Fullerton,-0.1140350877192982
Cal St. Northridge,-0.1677631578947368
California,-0.16497975708502022
Campbell,-0.006578947368421
Canisius,-0.2434210526315789
Central Connecticut,-0.08552631578947363
Central Michigan,0.05921052631578948
Charleston,-0.44298245614035087
Charleston Southern,-0.11348684210526311
Charlotte,-0.3269736842105263
Chattanooga,0.016081871345029274
Cincinnati,-0.27803203661327225
Clemson,-0.3203441295546559
Cleveland St.,0.8355263157894738
Coastal Carolina,-0.02796052631578943
Colgate,-0.09649122807017539
Colorado,-0.27349624060150374
Colorado St.,-0.2872807017543859
Connecticut,0.3498283752860413
Coppin St.,0.24122807017543865
Cornell,0.29276315789473695
Creighton,-0.21633126934984517
Davidson,-0.04246411483253583
Dayton,-0.08971291866028702
DePaul,-0.06944444444444442
Delaware,-0.19298245614035084
Delaware St.,-0.006578947368421
Detroit Mercy,0.2653508771929825
Drake,-0.3651315789473684
Drexel,-0.0184210526315789
Duke,0.24141081871345044
East Carolina,-0.006578947368421
East Tennessee St.,-0.06725146198830405
Eastern Illinois,-0.0921052631578947
Eastern Kentucky,-0.06359649122807014
Eastern Michigan,0.39473684210526316
Eastern Washington,-0.1463815789473684
Evansville,-0.28289473684210525
FIU,-0.006578947368421
Fairfield,-0.08552631578947363
Fairleigh Dickinson,0.17631578947368426
Florida,0.5649313501144165
Florida A&M,0.493421052631579
Florida Atlantic,-0.29934210526315785
Florida Gulf Coast,0.9144736842105262
Florida St.,0.11701127819548872
Fordham,-0.1578947368421052
Fresno St.,-0.10526315789473684
Gardner Webb,-0.006578947368421
George Mason,0.4583333333333334
George Washington,-0.1542397660818714
Georgetown,-0.08522727272727265
Georgia,-0.506578947368421
Georgia Southern,-0.0921052631578947
Georgia St.,0.15679824561403513
Georgia Tech,0.17064144736842107
Gonzaga,0.1331578947368421
Grand Canyon,-0.0921052631578947
Green Bay,-0.20526315789473681
Hampton,0.35921052631578954
Hartford,-0.006578947368421
Harvard,0.14638157894736847
Hawaii,-0.1496710526315789
Hofstra,-0.20065789473684204
Holy Cross,0.04166666666666671
Houston,-0.1659356725146198
Howard,-0.006578947368421
IUPUI,-0.006578947368421
Idaho,-0.2434210526315789
